BLA,BLP,LU,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,SBLU,SLR
259354.4085,2285.92471,B,60.667,11,2.259558356417914,0.229774640595708,3,54.800000000000004,34.27881818181818,5.559909411732054,5417.551454545454,0.046797667314585,0.454545454541322,0.333333333333333,0.019509655639893,R,"primary, secondary, tertiary"
288346.0508,2144.4678,M,27.0,66,0.71619708828001,0.205296708020667,0,0.0,12.844984848484849,0.0,896.9165909090909,0.046011487470273,0.212121212120891,0.0,0.200294274825729,"A, R, M","primary, secondary, tertiary"
172350.7988,1792.19826,A,22.5,31,0.496229455247526,0.13531275841119,0,0.0,14.750548387096774,0.0,752.2987741935483,0.021889393132712,0.19354838709615,0.0,0.102835402752536,"A, R","primary, secondary, tertiary"
6317.11209,343.14186,A,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157764614473609,"A, R",secondary
890445.8998,3774.51963,A,39.0,18,0.570198290669921,0.11692157493609,0,0.0,16.613500000000002,0.0,5784.018722222222,0.0,0.0,0.0,0.17239789207449,A,"secondary, tertiary"
91635.13167,1184.19404,B,78.0,8,1.964487219249936,0.332735736221811,1,78.0,27.0,0.0,3811.2853750000004,0.035416091965007,0.249999999996875,0.0,0.078562743026228,R,"primary, secondary, tertiary"
142770.633,1531.59219,R,85.8,23,1.319703051257047,0.155002688823268,8,64.923875,37.16008695652174,15.06347348254628,962.1666086956521,0.000391991679636,0.043478260869376,0.125,0.139819941980598,"B, R","trunk, primary, secondary, tertiary"
39139.71944,789.42728,B,32.727,7,1.675654908577955,0.304079824032586,0,0.0,19.881285714285713,0.0,1700.2284285714286,0.159001789704913,0.71428571427551,0.0,0.173276297092731,"B, R","secondary, tertiary"
74147.60234,1069.78171,R,25.5,20,0.835685619554721,0.213226058578444,0,0.0,15.38175,0.0,790.51005,0.02891021431814,0.54999999999725,0.0,0.248986627092294,R,"primary, secondary, tertiary"
89129.64349,1187.90087,R,90.0,15,1.313933484016901,0.249957838129349,1,90.0,22.733333333333334,0.0,1485.2435333333333,0.193750812067944,0.533333333329778,0.0,0.664039725000685,R,"secondary, tertiary"
541260.3355,2978.92254,A,18.0,25,0.543689128315962,0.139053483256765,0,0.0,14.16,0.0,3010.5654000000004,0.035430460520968,0.1999999999992,0.0,0.536939170532199,"A, R","trunk, primary, secondary, tertiary"
90637.36263,1183.8455,R,60.0,9,1.065189764999233,0.163759089732022,4,60.0,35.666666666666664,0.0,1649.188,0.03248139227758,0.444444444439506,0.0,0.215308886013449,"B, R","secondary, tertiary"
82066.99723,1122.20406,R,18.0,19,0.748481741422185,0.15927899693181,0,0.0,17.736842105263158,0.0,687.9762631578948,0.006597773509338,0.210526315788366,0.0,0.355020090459967,R,"primary, secondary, tertiary"
58577.46061,969.30696,R,52.0,22,1.65259280603697,0.258328712826051,3,48.891999999999996,17.472454545454546,2.301737314870371,687.829090909091,0.156446373233271,0.499999999997727,0.666666666666667,0.394910017776141,"R, M","secondary, tertiary"
84434.34143,1133.09285,R,27.0,20,0.800158168533962,0.1882996507195,0,0.0,17.250999999999998,0.0,794.94785,0.012001070718817,0.399999999998,0.0,0.483821847661288,R,"primary, secondary, tertiary"
95442.87924,1222.11233,R,27.429,24,0.983606579637381,0.206518507791823,0,0.0,17.706625,0.0,821.2800416666668,0.105479479598597,0.499999999997917,0.0,0.304666049625932,R,"secondary, tertiary"
