BLA,BLP,LU,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,SBLU,SLR
12212.948,530.28,B,18.0,12,1.677720727215084,0.438176515612774,0,0.0,12.833333333333334,0.0,445.95225,0.168732068574735,0.833333333326389,0.0,0.555378014062781,"A, R","secondary, tertiary, residential"
28887.697,881.319,B,18.0,1,0.044585070246341,0.011146267561585,0,0.0,18.0,0.0,321.99,0.03398724387505,0.9999999999,0.0,0.279261449640004,"B, R, U","primary, secondary, residential"
18670.873,618.971,B,18.0,7,1.297494873432003,0.329165111883092,0,0.0,17.0,0.0,877.9714285714286,0.076724870707937,0.857142857130612,0.0,0.198757421570015,B,"primary, secondary, residential"
7136.325,348.418,B,108.0,3,3.452637036569943,0.588501784882275,1,108.0,48.0,0.0,1399.9133333333332,0.416802812407627,0.999999999966667,1.0,0.128367103993548,B,primary
9631.765,471.085,B,18.0,4,3.281565943521255,0.820391485880314,0,0.0,18.0,0.0,1975.4544999999998,0.580713676379273,0.999999999975,0.0,0.150980585709132,"A, B, G","primary, secondary, residential"
9609.682,474.771,B,18.0,4,3.428751544536021,0.857187886134005,0,0.0,18.0,0.0,2059.32575,0.631640844401649,0.999999999975,0.0,0.186234983076165,"A, B, G","primary, secondary, residential"
7194.902,348.418,B,18.0,3,2.779810482477732,0.694952620619433,0,0.0,18.0,0.0,1666.7053333333333,0.54054044373124,0.999999999966667,0.0,0.182951916761727,B,primary
3918.393,259.716,B,18.0,4,2.474422550264866,0.618605637566217,0,0.0,18.0,0.0,605.985,0.330526784679238,0.74999999998125,0.0,0.242031199685602,B,primary
12917.555,479.29,B,58.0,13,1.544046222369481,0.31456866256811,5,56.8,32.30769230769231,2.4,312.57369230769234,0.297206420140374,0.846153846147337,1.0,0.313152999366833,"B, G, R, U","primary, tertiary"
13598.489,488.636,B,18.0,3,0.598554957098542,0.188798843753891,0,0.0,14.0,0.0,855.793,0.212064734137272,0.999999999966667,0.0,0.438525549725524,"A, B, G, R","primary, tertiary"
2352.729,202.602,B,18.0,2,4.505011839442622,1.126252959860655,0,0.0,18.0,0.0,1324.884,0.335320465531785,0.99999999995,0.0,0.534454752386995,"B, G",primary
4874.363,315.444,B,100.0,3,10.268744449274706,0.573433697900628,2,100.0,69.0,0.0,931.708,0.503281712018637,0.999999999966667,1.0,0.379760413608831,"B, G","primary, tertiary"
5315.864,315.444,B,12.0,1,1.234664769452341,0.41155492315078,0,0.0,12.0,0.0,2187.77,0.275317061545777,0.9999999999,0.0,0.290666495104578,"B, G","primary, residential"
7743.258,359.451,B,18.0,8,1.985467615827859,0.50429134609747,0,0.0,17.0,0.0,488.10725,0.180612844161299,0.874999999989063,0.0,0.055068303506175,B,primary
4279.158,331.77,B,18.0,3,3.19778704128242,0.799446760320605,0,0.0,18.0,0.0,1140.3196666666665,0.507639854179234,0.999999999966667,0.0,0.457122793939942,"B, G",tertiary
4415.856,279.916,B,18.0,1,1.968339547304079,0.49208488682602,0,0.0,18.0,0.0,2172.976,0.228761783187672,0.9999999999,0.0,0.175248754808338,B,primary
1602.133,162.141,B,7.0,2,0.497228382412696,0.248614191206348,0,0.0,7.0,0.0,199.1565,0.156380979910392,0.99999999995,0.0,0.346264427736503,"B, G",residential
2711.824,215.727,B,18.0,7,4.520609007074206,1.331690035931535,0,0.0,13.285714285714286,0.0,515.9012857142858,0.618878199039348,0.999999999985714,0.0,0.249003219989913,"B, G",residential
